player,team,role,goals,assists,penalties saved,saves,clean sheets,yellow cards,red cards,penalties missed,own goals,goals conceded,minutes,score,rating
Valon Behrami,Watford,Midfielder,0,0,0,0,5,6,0,0,0,29,1780,-29.5,-1.49
Matthew Pennington,Everton,Defender,1,0,0,0,0,0,0,0,0,6,180,-3.0,-1.5
Lewis Grabban,Bournemouth,Forward,0,1,0,0,0,0,0,0,0,2,60,-1.0,-1.5
Asmir Begovic,Chelsea,Goalkeeper,0,0,0,1,0,0,0,0,0,2,90,-1.5,-1.5
Rob Holding,Arsenal,Defender,0,0,0,0,1,1,0,0,0,6,360,-6.0,-1.5
Tom Cleverley,Watford,Midfielder,0,2,0,0,3,4,0,0,0,25,1398,-23.5,-1.51
Modou Barrow,Swansea,Forward,0,2,0,0,4,1,0,0,0,23,1145,-19.5,-1.53
Darron Gibson,Sunderland,Midfielder,0,0,0,0,1,2,0,0,0,8,499,-8.5,-1.53
Andy King,Leicester,Midfielder,1,0,0,0,1,4,0,0,0,23,1255,-21.5,-1.54
Bryan Oviedo,Sunderland,Midfielder,0,0,0,0,3,4,0,0,0,19,1143,-19.5,-1.54
Donald Love,Sunderland,Defender,0,1,0,0,1,1,0,0,0,10,521,-9.0,-1.55
Daniel Drinkwater,Leicester,Midfielder,1,1,0,0,6,5,0,0,0,43,2220,-38.5,-1.56
Adrian Mariappa,Watford,Defender,0,0,0,0,1,0,0,0,0,4,202,-3.5,-1.56
Lamine Koné,Sunderland,Defender,1,0,0,0,4,4,0,0,0,41,2185,-38.0,-1.57
Mame Biram Diouf,Stoke,Forward,0,2,0,0,4,3,0,0,0,23,1173,-20.5,-1.57
David Jones,Burnley,Midfielder,0,0,0,0,0,1,0,0,0,1,86,-1.5,-1.57
Angelo Ogbonna,West Ham,Defender,0,0,0,0,4,2,0,0,0,30,1665,-29.0,-1.57
Jason Denayer,Sunderland,Defender,0,0,0,0,5,2,0,0,1,28,1679,-29.5,-1.58
Craig Cathcart,Watford,Defender,0,1,0,0,2,3,0,0,0,21,1162,-20.5,-1.59
Sofiane Boufal,Southampton,Midfielder,1,1,0,0,3,4,0,0,0,18,815,-14.5,-1.6
Joel Ward,Crystal Palace,Defender,0,1,0,0,6,6,0,0,0,52,2877,-51.0,-1.6
Alfie Mawson,Swansea,Defender,4,0,0,0,4,1,0,0,2,43,1980,-35.5,-1.61
Fernando Francisco Reges,Man City,Midfielder,0,0,0,0,1,3,0,0,0,9,558,-10.0,-1.61
Patrick Bamford,Middlesbrough,Forward,0,0,0,0,0,0,0,0,0,2,112,-2.0,-1.61
Michael Dawson,Hull,Defender,3,0,0,0,1,3,0,0,1,33,1540,-28.0,-1.64
Damien Delaney,Crystal Palace,Defender,0,2,0,0,3,7,0,0,0,34,1862,-34.0,-1.64
Chung-yong Lee,Crystal Palace,Midfielder,0,1,0,0,2,0,0,0,0,10,437,-8.0,-1.65
Glenn Whelan,Stoke,Midfielder,0,1,0,0,5,4,0,0,1,34,1927,-35.5,-1.66
Joe Ledley,Crystal Palace,Midfielder,1,1,0,0,2,1,0,0,0,26,1160,-21.5,-1.67
Didier Ndong,Sunderland,Midfielder,1,1,0,0,4,5,0,0,0,42,2073,-38.5,-1.67
